,input,actual,predicted
712,"sila4 nig2-mussa dam mu-ni-...
","You  the wife with lambs as a marriage gift
","You the wife with kids as a marriage gift
"
713,"nam-lugal-bi i3-si-in{ki}-sze3 ba-de6
","the kingship to Isin was carried off 
","the kingship to Akak was carried away
"
714,"lagasz{ki}
","Laga 
","of Laga
"
715,"mu-du2
","he formed 
","he formed it
"
716,"gurx(|SZE.KIN|)-a zar3 tab-ba a-sza3 gu4-suhub2 a-sza3 ur-{d}nin-ti u3 a-sza3 e2-{d}ezina2
","harvested and sheaves piled up in the Oxen boot field in the UrNinti field and the EEzina field
","harvested and sheaves piled up in the field GAN2mah in the field Ninnudu and in the field PloughofBazi
"
717,"szu ba-ti
","received 
","received
"
718,"a ru-a-gu10 eme-gir15-ra-am3 dumu dub-sar-ra-me-en
","My engenderer is Sumerian I am the son of a scribe 
","The allegiancesense of the land was eradicated and the people wailed
"
719,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
720,"{d}nin-mul-e iri{ki} hul-a-na er2 gig mu-un-sze8-sze8
","Ninmul cried bitter tears over her destroyed city 
","For the sake of his harmed city he wept bitter tears
"
721,"2(disz) gu4 niga
","2 fattened oxen
","2 oxen grainfed
"
722,"i3-ni-du11
","he has done to her
","has spoken
"
723,"|ISZ.DU6.KID2|
","The tumuli 
","The tumuli
"
724,"e2-a-na lu2 nu-kux(KWU634)-kux(KWU634)-de3
","no person could enter his temple 
","In his house radiant in front of the storm
"
725,"2(asz) lu2-lum-ma
","total 8 less 1 male laborers 
","2 kidmats
"
726,"nig2-ka9-ak
","account of 
","xxx
"
727,"a mu-na-ru
","dedicated it this figurine to him 
","he dedicated it to him
"
728,"... {d}nu-dim2-mud-ke4 ga2-ra du11-mu-...
","Say the spell of Nudimmud for me 
","Did you see the man who was overtaken by the curse of his mother and father How is he found there
"
729,"eme5 ib2 gig
","shedonkey with arthritic hips 
","shedonkey with arthritic hips
"
730,"tur3-a-na amasz-a-na nu-nuz-e gu3 gig-ga mu-ni-ib2-be2 iri u4-de3 am3-gul-e
","In her cattlepen in her sheepfold the woman shouts bitterly the storm is destoying the city 
","He has been destroyed in the cattlepen you shall be destroyed and the storm the people wailed
"
731,"... im-ma-ni-mu2-mu2 mu gen-na im-zal
"," grewwas growing in  the current year elapsed 
","Time elapsed after the sunrise
"
732,"umma{ki}-a
","in Umma 
","upon Umma
"
733,"hur-sag il2-la-zu-sze3 sukud-da-zu-sze3
","Mountain range on account of your raising on account of your being high 
","The mountain range extends into the plain
"
734,"dumu la-na kuruszda
","son of Lana fattener 
","son of Lana
"
735,"su-la2 utuwa
","dried cut of a ram 
","dried cut of a ram
"
736,"2(disz) sa masz-szu-gi4-gi4
","2 bundles for Maugigi 
","2 bundles poplar
"
737,"gu4 mah2
","mature ox or bull 
","mature ox
"
738,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
739,"i-{d}utu kur-ra ba-e-dab5-be2
","The outcry aroused would detain you in the nether world 
","complaints
"
740,"gu2 ...
","Nibru has embraced the heavens 
","From the bank of the
"
741,"e-ne-ag2 ma-ra-ab-du11-ga-gu10-usz gu2-ni la-ba-da-an-szi-szub
","She did not neglect the orders I gave her 
","My words sustained me in the city
"
742,"4(gesz2) 3(u) sar {u2}kiszi17 1(u) sar-ta
","27 sar acacia at 1 sar a day 
","243 sar acacia at 1 sar per day
"
743,"...-ti-lum-ma-ta
","from the  
","lancet
"
744,"munus tu-ra uzu nig2 sag3-ga-sze3 ba-an-ku4
","The afflicted woman was turned into a corpse 
","Sick her and turned her into a smitten piece of meat
"
745,"u4 1(u) 5(disz)-am3 ki udu-ka asz nu-tusz-am3
","For the second time It was the case that during 15 days Bida at the place of the sheep did not stay 
","15 days at the place of the sheep did not stay
"
746,"gesz-hur e2-a-na ma-ra-pa3-pa3-de3
","He will reveal the plan of his house to you 
","The plans of his house gazes far
"
747,"...-me-en lu2 nu-x-me-en
","I am  I am the one who does not  
","You are
"
748,"2(gesz2) sa gi
","12 bundles of reed
","12 bundles of reed
"
749,"5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2
","5 sila3 beer 5 sila3 bread 5 shekels garlic 
","5 sila3 beer 5 sila3 bread 5 shekels onions
"
750,"nin dingir-re-e-ne-ra
","queen of the gods 
","lady of the silvery
"
751,"1(asz) ab2 KAL
","1  cow 
","1 cow
"
752,"{disz}x-x-x-e-lum ensi2 am-da-ma{ki}
","ellum the ruler of Amdama
","son of the governor arranged
"
753,"kiri3 szu he2-na-gal2
","make obeisances 
","make obeisances
"
754,"e2 gu4-ginx ur5-sza4 ninda2-ginx gu3-nun-di
","House roaring like an ox bellowing loudly like a breedbull 
","The houses of the gods met him
"
755,"n x ki ...-ta
","3  
","n
"
756,"en-en3-tar-zi dingir-ra-ni {d}mes-an-tum2
","Enentarzi his god was Mesantum2 
","his god Enentarzi
"
757,"e2-an-na-tum2-me
","by Eannatum 
","Eannatum
"
758,"nam-ti ...
","for the life of  
","for the life
"
759,"in-ne-a-lu-ga-ta %a e-lu a-a-bi iz-za-as-zu
","they had stood over the enemies  
","Men ignorant of the scribal art supplants your tablet of the scribal art
"
760,"bara2-nam-tar-ra
","Baranamtara 
","Baranamtara
"
761,"nig2-dim2-ma-bi
","and things fashioned from them
","lancet
"
762,"szunigin 1(gesz2) 4(u) 8(disz) gurusz u4 1(disz)-sze3
","total 18 laborer workdays
","total 18 workdays male laborers
"
763,"za3-dib an-ki-a
","most excellent one of heaven and earth 
","all of heaven and earth
"
764,"sanga gesz be2-ra 3(|ASZxDISZ|)
","administrator threshed 3rd year 
","struck south was struck by it
"
765,"u3 nam-ti-la-ni-sze3
","and for her own life 
","also for her own life
"
766,"e2-engur-ra {d}en-ki-ke4 {gi}dub-ba-an ku3 la2-a
","Eengura temple whose pure reed fence has been hungbound together by Enki 
","Eengura temple of Enki
"
767,"ku3-gin7 izi i3-la2
","as if it were silver I refined it with fire 
","Like a holy sea he extended
"
768,"lu2 e2-x-x
","the man who the  temple
","Seized runaways
"
769,"szul ka-tar-a-ni
","The youth whose praise
","The youth
"
770,"gir2-su{ki}-ta
","xxx 
","from Girsu
"
771,"{d}en-lil2-la2
","of Enlil 
","of Enlil
"
772,"ninda he2-gal2-la {d}nin-ka6 i3-ib-gu7
","If there was food a mongoose ate it 
","If there was food on the groundin the netherworld
"
773,"ki-ag2-ni
","beloved by him
","her beloved
"
774,"1(u) 2(disz) gurusz u4 1(disz)-sze3
","12 male laborer workdays 
","12 male laborer workdays
"
775,"{d}inanna-ke4 ni2-te-na igi im-kar2-...
","Inanna was inspecting herself 
","Inanna proceed to his own leatherskin
"
776,"ka5-a nu-banda3{+da}
","The fox is overseer 
","fox
"
777,"gurusz-e 1/2(disz) ninda-ta
","per laborer 12 ninda each
","per laborer 12 ninda
"
778,"... x {d}nin-...
","Bearing a  aura wearing a great aura  
","For Nin
"
779,"|GIN2.SZE3| i3-ni-se3
","defeated him 
","defeat
"
780,"erin2 gir2-su{ki}
","xxx 
","labortroops of Girsu
"
781,"u3 zi-ga
","xxx 
","xxx
"
782,"sukkal nam-dumu
","is your servant 
","The minister of the royal children
"
783,"dub i3-sar dim2-ma(LA) nu-mu-da-an-ku4
","You write a tablet and then you cannot bring its contents into the intellect 
","The tablet of the processional barges
"
784,"3(u) la2 1(disz)
","total 3 less 1 
","total 29
"
785,"isz-bi-er3-ra
","IbiErra 
","IbiErra
"
786,"1(disz) sila4 {d}en-lil2
","ne lamb for Enlil 
","1 lamb for Enlil
"
787,"lagasz{ki}-ke4
","of Laga 
","of Laga
"
788,"i3-nun-bi 3(ban2) 5(disz) sila3
","their butter oil 3 ban2 5 sila3 
","their butter oil 3 ban2 5 sila3
"
789,"e2 usz-bar e2-gal
","house of weavers of the palace
","weaving house
"
790,"2(u) engar-bur2 ...
","2 releaseploughmen 
","2 releaseploughmen
"
791,"tab mu-szi-in-ku4-ra-ni ninim-ma-ni hu-mu-te
","When he entered  he drew his envy near 
","When he entered he drew his envy near
"
792,"nig2-ka9-ak
","accounts 
","xxx
"
793,"LAK384 HI
","cereal dish 
","cereal dish
"
794,"nam-ti
","for the life 
","for the life
"
795,"te-me-en da-ri2 an-ki-ke4 gesz-hur gi-na dim3-me-er-e-ne-ka-ta = %a ina da-ru-ti te-me-en an-e u ki-tim u2-s,u-rat dingir-mesz ki-na-a-ti
","At the eternal foundation of heaven and earth and by the enduring designs of the gods  
","There will be a great foundation of heaven and earth trembled there
"
796,"a-ra2 mah-ka-ne2
","of his exalted ways 
","The divine decree
"
797,"in-szi-in-sze-ga
","had been favorable 
","became agreeable
"
798,"lugal an-ub-da limmu2-ba
","king of the four corners 
","king of the four corners
"
799,"... x-bi ba-BU-BU x x
","He  and opened his clenched fist 
","May the gadala priest
"
800,"...-ta ni2 te-te-...
","The woman who was fearing the command of An was coming by 
","Fearing the command of Enlil was coming by
"
801,"umma{ki}
","Umma 
","of Umma
"
802,"e2 {d}nansze
","had the temple of Nane 
","had the temple of Nane
"
803,"lu2-inim-ma-bi-me
","are the witnesses 
","are its the lawsuits witnesses
"
804,"7(disz) {gesz}epir2 x x
","7   
","7 sagubar garments
"
805,"musz-bi-an-na
","xxx 
","Mubiana
"
806,"uri5{ki} esz3 nidba gal-gal-la nidba-bi kur2-ru-de3
","to change the food offerings of Ur the shrine of magnificent food offerings 
","Ur the shrine of great nindaba offerings
"
807,"... x DU x ...
","May  battle 
","the field as my water
"
808,"kur ...
","the land 
","The foreign lands
"
809,"ki ab-ba-sa6-ga-ta ba-zi
","from Abbasagas account booked out 
","from Abbasagas account booked out
"
810,"1(asz) masz-da5
","1 Mada 
","1 barleysilo
"
811,"i3-gal2
","xxx
","are here
"
812,"muru9-gin7 ki us2-sa ...-a-ba
"," when like a mist lying heavily on the earth 
","Like a cloud hugging the earth after
"
813,"4(disz) la2-e zib2 gid2-gid2-i
","To yoke a team of four and extend the reins 
","4 dur3jacks
"
814,"mu en {d}nanna kar-zi-da ba-hun
","year The highpriestess of Nanna in Karzida was hired
","xxx
"
815,"i3-gal2
","are here 
","are here
"
816,"e2-kesz3{ki} pirig u3-tu sza3-bi ur-sag su3-ud
","House Ke given birth by a lion whose interior the hero has embellished  
","House Ke given birth by a lion whose interior the hero has embellished
"
817,"sza3-gal kas4-e-ne
","provisions for messengers 
","provisions for messengers
"
818,"ki ku-li-ta
","from Kuli 
","out of Kulis account
"
819,"giri3-pad-ra2-gu10 sza3 iri kur2-ra-sze3 a nam-ba-an-tum3
","My bones should not be carried by water towards a strange city 
","The phantom maid built herself in my dwelling and illness
"
820,"iti 1(disz)-a-kam
","a period of 1 month 
","each month
"
821,"a-na
","to
","for
"
822,"nam-en-na-ne-ne-a-ta %a an be-lim
","in the rule over them
","it was embittered anger
"
823,"abzu ginx ri-a hur-sag-bi sig7-sig7-ga
","Rooted in the abzu verdant like the mountains 
","At the wardoor of the inner room where the weapon hang
"
824,"e-ma-us2
","they followed 
","he pressed
"
825,"a-na-sze-am3 u4-da u4-szu2-usz-bi-sze3 du14-da ba-ni-ib-ri-ze2-en
","Why do you today and daily before that cast downpick up quarreling 
","The allegiancesense of the land was forgotten and the homeland
"
826,"nu-banda3-gu4 ur-{gesz}szita2
","oxen manager Urita 
","oxencaptain
"
827,"a-sza3-bi 2/3(disz) sar 5(disz) gin2
","its volume 23 sar 5 shekels 
","its volume 23 sar 5 shekels
"
828,"szunigin 4(barig) 2(disz) sila3 u2-kur
","total 4 barig 2 sila3 u2kur spice 
","total 4 barig 2 ban2 2 sila3 u2kur spice
"
829,"ku3-si2 ku3-babbar gu4 udu-bi gu2-un dumu nibru{ki}-ke4-ne hu-mu-...
","Therefore its gold silver bulls and sheep the tribute of the citizens of Nippur is released 
","To the golden statue of silver togglepin with a bisons head
"
830,"lugal unu{ki}-ga in-dab5*-ba
","the king of Uruk he seized  
","king of Uruk Enakkanaana
"
831,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
832,"ki ad-da-ta
","from Adda 
","from Adda
"
833,"dumu a-kur-gal
","the son of Akurgal 
","son of Akurgal
"
834,"nin-a-ni igi-na nig2 nu-mu-na-ni-ra
","her lady did not thrown stuff in her face 
","The one in front of her although he was not a vizier
"
835,"dub-sar
","scribe 
","scribe
"
836,"...-zu GA2 nagar-ra-ka ...
","No one should be allowed to split apart your boxwood among the wood of the carpenter 
","under your command
"
837,"... x du10-bi bi2-in-pesz-en lugal kalam-ma-me-en
"," brought me up well I am the king of the Land 
","Enlil threw open the door of the Land as you
"
838,"bad3{ki}
","Drum 
","lancet
"
839,"buru5 u4 zal-le szeg10 gi4-gi4-da
","when the little birds at the break of dawn began to clamor 
","Birds have gathered up towards him he should be restored at your feet
"
840,"... gal4-la ba-...
"," the vulva  
","The small vagina extremely happy
"
841,"1(esze3) GAN2 4(barig) igi-husz
","1 ee3 field area 4 barig Igihu 
","1 ee3 4 iku surface area at 1 each
"
842,"gaba-ri-gu10-me-en
","You are really my opponent 
","You are really my opponent
"
843,"1(disz) geme2-x ...
","and 1 for Geme 
","1 Tabbani
"
844,"e2-tum
","xxx 
","xxx
"
845,"mu us2-sa ur-bi2-lum{ki} ba-hul
","year after Urbilum was destroyed 
","year following Urbilum was destroyed
"
846,"1(disz) ...
","1  
","1
"
847,"sza3-ku3-ge-pa3-da
","akugepada
","lancet
"
848,"ur2-ra-na ba-an-nu2
","and he has lain in her lap
","and in her lap
"
849,"lugal {d}en-lil2-le
","the king whom Enlil
","the king whom Enlil
"
850,"1(disz) ma-ga-ru-um
","one man Magarum 
","1 calfgazelle
"
851,"...-gu10 mu-da-an-ku5 me-e a-ba-sze3 ga-di
"," has separated  I shall go to the rear of the temple me I shall go to the rear of the temple 
","I shall go to the rear of the temple me I shall go to the rear of the temple
"
852,"nag-su{ki}-sze3 ma2 gid2-da ma2 ba-al-la u3 kar-sze3 ma2 diri-ga
","to Nagsu barge punted barge unloaded and to the quay barge floated back 
","to Nagsu barge punted barge unloaded and to the quay barge floated
"
853,"{d}szu-{d}suen
","Suen
","Suen
"
854,"uzu nig2 sag3-ga {gesz}gag-ta la2 im-me-ne-szum2-usz
","They were given the corpse hanging on the hook 
","The corpse hanging on the hook
"
855,"nin-he2-du7
","Ninhedu 
","Ninhedu
"
856,"... x sza3 sag-us2
","did sagus
","the constant supporter
"
857,"e2 nig2-gur11-ra
","and into a storehouse 
","So that the warehouses would be provisioned
"
858,"KIB mu-dim2-dim2
","he fashioned clay nails 
","fashioned clay nails
"
859,"... x sag ha-ra-an-sag3-sag3-e-ne = %a ... x me2-he-e li-szu-bu-ki
","They tremble before the  of the violent storms  
","Did you see the leprous man
"
860,"ama dumu-ni-ir sa6-ga mu-na-ab-be2
","lets mother speak sweetly to her child 
","The mother does not accuse a son
"
861,"gi-gun4-na eb e2-a lu2-erim2-e ba-ab-gul gesz-hur {gesz}esi ba-ab-kur2-...
","The enemy destroyed the giguna structure and the oval of the temple they irreparably changed its plans  
","At the site of the temple it was fastened to the enemy land
"
862,"1(u) 6(disz) ma-na
","it has  
","it has
"
863,"x-ma an-na-ke4 ba-ni-in-tu ...
","The  of heavenAn begat there  
","57 lines
"
864,"szem5 kusz la2-la2-e x ha-ba-gi4
","Therefore the em and ala drums resounded 
","Therefore the em and ala drums resounded
"
865,"{d}isz-bi-er3-ra
","IbiErra 
","IbiErra
"
866,"u4 he2-ma-al-la ka-na-ag2 ba-e-zal-la-ri
","When days of abundance elapsed in the land 
","when abundance overflowed in the Land
"
867,"{d}ka-he2-gal2-la {d}igi-he2-gal2-la ...
","Kaegala and Igiegala  
","pile up
"
868,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
869,"u4 1(disz)-sze3 sze bala-a
","for 1 workday barley transferred 
","for 1 workday barley transferred
"
870,"mu-na-du3
","he built 
","he built
"
871,"dumu ki-ag2-ni
","his beloved child 
","his beloved son
"
872,"... lugal x x x ...
"," the king  
","King
"
873,"mu-na-dim2
","he fashioned it for him 
","he fashioned for her
"
874,"mu {d}amar-{d}suen lugal-e sza-asz-szu2-ru-um{ki} mu-hul-ta
","year AmarSuen the king aurum destroyed 
","year AmarSuen the king aurum destroyed
"
875,"u-bar ka-us2-sa2
","for Ubar the kausa 
","Ubar the kausa functionary
"
876,"lugal an-ub-da limmu2-ba-ke4
","king of the four corners
","and king of the four world quarters
"
877,"{d}nin-gir2-su-ka-ke4
","by Ningirsu 
","of Ningirsu
"
878,"ugula kikken-ke4-ne
","xxx 
","unified
"
879,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
880,"he2-ag2
"," he indeed measured out 
","lancet
"
881,"e2-kisz-nu-gal2-sze3
","for the Ekinugal temple 
","for the Ekinugal temple
"
882,"gir2-su{ki}-ta
","xxx 
","from Girsu
"
883,"lu2 in-sa10 ku3-bi 1(disz) gin2 ku3-babbar-am3
","a man has bought its silver shall be 1 shekel
","A man has bought 1 shekel its silver flourishes
"
884,"pa-bi-a {uruda}ha-zi-in ba-an-gar
","He put axes against its top 
","He set the hazin ax into its branches
"
885,"e2-gal
","of the palace  
","Palace
"
886,"a2-ag2-ga2 lugal-ga2
","to the one who the orders of my king 
","for the instructions of my master
"
887,"mu us2-sa {d}szu-{d}suen lugal-e bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3
","year following Suen the king the Amorite wall muriqtidnim erected 
","xxx
"
888,"igi-ba x bi2-mu7-mu7
","In front of them he made noises with  
","Did you see the tiny stillborn babies who do not know their eyes
"
889,"ku3-bi 9(disz) gin2
","the silver 9 shekels 
","its silver equivalent 9 shekels
"
890,"ARAD2 {d}nanna
","servant of Nanna 
","servant of Nanna
"
891,"i3-gal2
","are here 
","are here
"
892,"... sukud-bi 1(disz) 1/2(disz) kusz3
"," its depth 1 12 cubits ca 75cm
","Dugamu
"
893,"a-a ugu-ga2-sze3
","the father who begot me 
","May the father who begot me
"
894,"hu-mu-szi-in-bar-re-esz
","they directed towards me
","lancet
"
895,"... is,-bu-tu ina qi2-bit asz-szur ...
","they seized By the command of Assur  
","In order to ameliorate the rage to attend to the anger
"
896,"im-mi-in-gar-ra-a
","he had set up 
","he did establish
"
897,"dumu tu-da
","son begotten 
","son begotten
"
898,"umma{ki}-a
","in Umma 
","upon Umma
"
899,"en-an-na-tum2
","Enanatum 
","Enanatum
"
900,"{d}en-ki-ke4 du6 eridu{ki}-ta nam-men nam-mah-zu mu-ri-in-tar
","Enki at the mound of Eridu determined your lordship and supremacy for you 
","Enki at the mound of Urim and your greatness
"
901,"1(asz) gu2 2(u) ma-na
","it has  
","it has
"
902,"u4 {d}nanna lugal-a-ne2
","when Nanna his master 
","When Nanna traded away his people
"
903,"n gin2 sze-lu2
"," shekels coriander 
","shekels coriander
"
904,"nu-banda3
","the nubanda 
","the overseer
"
905,"sze-a-sa
","mite infesting the flour 
","lancet
"
906,"x ... gu2 mu-ni-in-pesz11 u4 nu-du11-ga ...
"," had grown thickened his neck a time that was not appointed  
","Did you see the ghost that does not have someone to provide funerary offerings for him I saw him How is he treated
"
907,"5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2
","5 sila3 beer 5 sila3 bread 5 shekels onions 
","5 sila3 beer 5 sila3 bread 5 shekels onions
"
908,"sag-us2
","the constant supporter
","the constant supporter
"
909,"3(asz) sze gur-ta
","3 kor barley 
","3 kor of barley
"
910,"... za3-mi2
","It is the case that I know the venueregulation of praise 
","Enki praise
"
911,"KUL
","half bread 
","lancet
"
912,"e2-galam-ta-ni2-gur3-ru
","House that carries Dread from the Land 
","lancet
"
913,"2(N01@f) , kasz sag
","2 units high quality beer 
","2 measures high quality beer
"
914,"gal-le-esz ak
","grandly constructed 
","greatly pleasant
"
915,"{gesz}u3 nu-KU
","a neckstock 
","The instruments of for him
"
916,"1(disz) masz2 niga mu-kux(DU) s,e-lu-usz-{d}da-gan
","1 barleyfed male kid delivery of elluDagan 
","1 grainfed kid delivery of elluDagan
"
917,"nu-ur2-i3-li2
","did Nril 
","Nril
"
918,"nu-banda3 ur-sa6-ga dumu lugal-igi
","the overseer UrSaga son of Lugaligi
","the overseer UrSaga son of Lugaligi
"
919,"...-me-en
","I want to say I want to repeat you are not the son of an established man 
","am I
"
920,"lagasz{ki}-ke4
","of Laga 
","of Laga
"
921,"ARAD2 e3-na-num2
","servant of Ennnum 
","servant
"
922,"umma{ki}
","Umma 
","of Umma
"
923,"ildum2-gu10 mu-da-an-ku5 me-e i-lu ga-am3-du11
","For my one who  has separated from my clan I want to lament 
","cut him off
"
924,"szabra
","the household manager 
","household manager
"
925,"ARAD2-da-ni-ir
","IbbiSuen 
","his servant
"
926,"3(asz) SZE3-ba-an ku6 dar-ra
","3 Eban of fish split 
","3 Eban split fish
"
927,"6(asz) sze gur in-na-ag2-ag2-e
","he shall measure out to him 6 gur of barley
","he shall measure out to him
"
928,"1(disz) gu4 niga
","1 ox grainfed 
","1 fattened oxen
"
929,"er3-ra-ba-ni
","did Errabani 
","to Errabni
"
930,"...-a
","For Nanna 
","For Nanna
"
931,"lu2 e2 {d}nanna
","the person who the temple of Nanna
","the man who the temple of Nanna
"
932,"mu-un-pa3-de3-en
","he chose me
","lancet
"
933,"mu 1(gesz2) 5(u) 7(disz)-kam
","it was 117 years 
","117 years 7th year
"
934,"u4 1(u) 3(disz) n ba-zal
","13th day 
","13 passed
"
935,"nig2 gal-gal-la a-ba-da-ab-gal2-la-an
","When I am able to have great things 
","Thinkingspeaking of great things you are excessive
"
936,"ensi2
","ruler 
","ruler
"
937,"dumu pi2-iq-qum-ke4
","son of Piqqum 
","son of Sagazu
"
938,"{lu2}kin-gi4-a = %a ma-ri szi-ip-ri
","envoy 
","Men ignorant of gems have fastened my gems around their necks
"
939,"ki in-ta-e3-a(MIN)-ta
","From Intaea
","a type of wood or plant
"
940,"u3-mu-un-ra tur-tur ba-an-da-ri
","against the lord a storm of small hailstones arose 
","against the lord a storm of small hailstones arose
"
941,"nibru{ki}-a
","in Nippur
","whom in Nippur
"
942,"lugal-ra a {gesz}ma2-sag-ga2-ke4
","against the king the waves at the bow of the boat 
","against the king the waves at the bow of the boat
"
943,"bad3 iri ku3-ga-ka-ni
","her wall of the Holy City 
","her wall of the Holy City
"
944,"gudu4 {d}nansze-me
","they are guduofficiants of Nane 
","itae priest
"
945,"{sze}lillan-bi a du11-ga-ab
","Water the ripe grain 
","lordship
"
946,"nun u18-ru me-ni a-re-esz kal
","powerful prince whose divine powers are praiseworthy and mighty  
","whose prince is praiseworthy and precious
"
947,"mu-tu
","he created 
","he created
"
948,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
949,"ARAD-ga2-ka
","my servant 
","my servant
"
950,"IM x ...
","Your gate is a lion seizing a man 
","Father
"
951,"2(disz) udu 2(disz) sila4
","2 sheep 2 lambs 
","2 rams 2 male lambs
"
952,"dumu ki-ag2
","beloved son 
","beloved son
"
953,"{d}en-lil2-le
","whom Enlil
","Enlil
"
954,"... bi2-...
","It was by means of my foot that I watered it 
","It was by means of my foot that I planted it
"
955,"1(gesz2) muszen tur-tur
","6 small birds 
","6 small birds
"
956,"ab2 ubur
","cow with an udder 
","cow
"
957,"erim2 lugal-la du7-de3
","butting the kings enemies 
","The enemies
"
958,"{d}nin-lil2-le musz3-me mi-ni-in-szum2-ma x x e-ne ba-ab-tum3
","When Ninlil had given it features that one was fit for  
","Ninlil accepted
"
959,"nita kal-ga
","strong man 
","the mighty man
"
960,"i-gi4-in-zu ur5-ra-ke4-esz sza-ne-sza4 |E2xSAL| ma-ra-tuku-tuku
","Perhaps by this means I can make him have compassion and mercy for you 
","The noise of the processional barges
"
961,"...-a
","Coming up towards the vagina a birth mother daily 
","For Nanna
"
962,"... ki-bur2-bi ...
"," its entry placesolution  
","Solution the edubaa scribal school
"
963,"mu-na-dim2
","fashion it 
","he fashioned for her
"
964,"me nig2-nam-ma
","the divine powers of everything 
","who the divine powers of everything
"
965,"ki-en-gi ki-uri-a
","in Sumer and Akkad 
","in Sumer and Akkad
"
966,"men gidri szum2-ma-am3
","he the one given the crown and scepter
","may the crown of the enship
"
967,"a-ba-am3 e-ne lu2 diri-gu10-usz dumu-ni-sze3 in-na-kusz2-am3
","Who is it that has exerted himself for his son more that I 
","Who is it that you who decides legal decisions of the universe
"
968,"{d}iszkur-ra mu-na-an-gen
","He went in to Ikur
","he went
"
969,"ir-du10-{d}mar-tu
","Irdu Martu 
","lancet
"
970,"nun ni2-tuku du8 mah e2 lugal-la-na-sze3 szu luh-luh-ha-ta al-gub-bu
","reverent princess who serves at the lustrations for the exalted platform of the royal house 
","the prince who reveres the great dining hall they must not seize you
"
971,"ku3-bi igi-3(disz)-gal2
","its silver 13 shekel 
","its silver 13 shekel
"
972,"usu mu-lu gig-ga i-bi2-...
","The strength of the sick man  
","You by means of the countrys strength
"
973,"ur-{d}li9-si4
","UrLisi 
","UrLisi
"
974,"gu4 kun
","ox or bull with a healthy tail 
","ox or bull
"
975,"a2 lu2 hun-ga2
","labor of the hired men 
","labor of hired men
"
976,"mu-un-gar-re-en
","he appointed me 
","he Nanna placed me in the position of shepherd in his land
"
977,"ur-ge6-par4
","To Urgepar 
","Urgepar
"
978,"szu ba-an-zi-zi-a
","shall incite to do this 
","he shall incite for this
"
979,"szunigin sze-bi 7(gesz2) 3(u) 9(asz) 4(barig) 4(ban2) gur
","total its barley 459 gur 4 barig 4 ban2 
","total its barley 45 gur 4 barig 4 ban2
"
980,"6(disz) gurusz ugula lugal-ku3-zu
","6 male laborers foreman Lugalkuzu 
","6 laborers foreman Lugalkuzu
"
981,"mu-bi
","is its name 
","is its name
"
982,"ur-{d}nansze
","UrNane
","UrNane
"
983,"2(disz) sila3 kasz 2(disz) sila3 ninda
","2 sila3 beer 2 sila3 bread
","2 sila3 beer 2 sila3 bread
"
984,"gu2 ki-sze3 ga2-ga2-de3
","to submit
","to establish the bank of the earth
"
985,"...-ka
","with PN of  
","of
"
986,"isz-bi-er3-ra
","IbiErra 
","IbiErra
"
987,"... la-la gurusz-gu10 nu-mu-un-gi4-a
"," my youth has not been satisfied by the charms 
","theits youth has not been satisfied by the charms
"
988,"hu-bi2-dam dam-gar3
","against ubidam the trade agent 
","the merchant
"
989,"GISZGAL-ku3-an-na ul-la du2-ru-na-am3
","is the bright seat of An dwelling in  
","it is a young lioness whose young ones rest on its paws
"
990,"bala egir
","bala after
","xxx
"
991,"...-a
","n6 sila bread each 
","For Nanna
"
992,"iti ezem-mah
","month ezemmah 
","month Bigfestival
"
993,"{d}nu-nam-nir an ki lugal-bi ...
","Nunamnir king of heaven and earth  
","Nunamnir king of the universe
"
994,"nita kal-ga
","the mighty man 
","the mighty man
"
995,"|ISZ.DU6.KID2|-bi
","and its tumuli 
","and its tumuli
"
996,"mu-du3
","he built 
","he built
"
997,"1(barig) e2-zi-mu
","and 1 barig Ezimu
","and 1 barig Ezimu
"
998,"uri5{ki}-ma-ke4
","of Ur 
","xxx
"
999,"amasz {lu2}sipa-da-gin7 ha-ba-bu-bu
","Like a shepherds sheepfold it has been uprooted 
","Like the sheepfold of the princely sheepfold
"
1000,"{d}suen-ka
","of Suen 
","for Suen
"
1001,"udu gukkal gub-ba
","sheep fattailed sheep stationed 
","xxx
"
1002,"ur-sag {gesz}szar2-ur3 me3-a kur szu-sze3 gar-gar
","the warrior Mowdownamyriad who in battle subdues all the lands
","being the Mowdownamyriad the floodstorm of battle
"
1003,"lugal an-ub-da limmu2-ba-ka-sze3
","and king of the four world quarters
","and king of the four world quarters
"
1004,"me-silim
","Mesilim 
","Mesilim
"
1005,"nam ha-ba-da-ku5-ne
","curse him 
","curse
"
1006,"a-sza3-mu u4-de3 ba-ab-de3
","That My field by the storm was ruined or 
","My field by flood
"
