input,actual,predicted
"nam-1(u) sza-at-bi-zi-il 6(gesz2) i-ti-rum 1(gesz'u) a-di-ti
","1troop of atbizil  36 by Anahepat  6 by Aditi 
","1troop of atbizil 36 by Anahepat 6 by Aditi
"
"sze ninda ur5-ra lu2 mar-sa kiszib3 ma2-gur8-re
","barley bread interestbearing for the shipyard people under seal of Magure
","barley bread interestbearing for the shipyard people under seal of Magure
"
"szu ba-an-ti iti szu-esz5-sza mu {d}i-bi2-{d}suen lugal uri5{ki}-ma-ke4 nibru{ki} uri5{ki}-ma bad3-gal-bi mu-du3
","receive  month uea  year IbbiSuen king of Ur in Nippur Urs BigWall did erect 
","receive month uea year IbbiSuen king of Ur in Nippur Urs BigWall did erect
"
"pisan-dub-ba nig2-ka9 lu2 szuku dab5-ba bala-a-ke4-ne
","Basketoftablets  Accounts of men accepting rations of the balas 
","Basketoftablets accounts men of nigdab men of the borderlands
"
"u4 1(u) 1(disz)-kam iti {d}li9-si4 mu si-ma-num2{ki} ba-hul ...
","11th day  month Lisi  year Simanum was destroyed 
","11th day month Lisi year Simanum was destroyed
"
"2(barig) 3(ban2) ki lugal-e2-mah-e-ta 1(asz) 4(barig) 1(ban2) gur ki ur-mes-ta
","2 barig 3 ban2 from Lugalemae  1 gur 4 barig 1 ban2 from Urmes 
","2 barig 3 ban2 from Lugalemae 1 gur 4 barig 1 ban2 from Urmes
"
"a2-bi u4 1(u) la2 1(disz) 1(gesz'u) 2(gesz2) 2(u) 2(disz) 1/2(disz) sar al 1(u) 5(disz) sar-ta
","its labor 9 days  742 12 sar of hoeing at 15 sar a day 
","its labor 9 days 742 12 sar of hoeing at 15 sar a day
"
"u3 sze nig2-gal2-la giri3 ur-{d}lamma dumu sa12-du5
","and barley on hand  via UrLamma son of chief surveyor 
","and property of barley via UrLamma son of surveyor
"
"szunigin 2(ban2) 3(disz) sila3 ninda szunigin 7(disz) gin2 i3
","total 2 ban2 3 sila3 bread total 7 shekels oil 
","total 2 ban2 3 sila3 bread total 7 shekels oil
"
"mu {d}amar-{d}suen lugal la2-ia3 5(asz) sze gur lugal
","year AmarSuen is king  The debit 5 royal gur of barley 
","year AmarSuen is king The debit 5 royal gur of barley
"
"4(ban2) 7(disz) sila3 dabin 7(disz) sila3 ninda AB u4 3(disz)-kam
","4 ban2 7 sila3 barley flour 7 sila3 ABbread on the 3rd day
","4 ban2 7 sila3 barley flour 7 sila3 ABbread on the 3rd day
"
"1(disz) udu ri-im-i3-li2 ab-ba-kal-la szu ba-ti
","1 sheep of Rimili  did Abbakala receive 
","1 sheep of Rimili did Abbakala receive
"
"1(disz) gu4 5(disz) udu u2 igi-kar2 dam sukkal-mah
","1 ox  5 sheep grainfed  birth gift for the wife of the sukkalma
","1 ox 5 sheep grainfed birth gift for the wife of the sukkalma
"
"sze-bi 4(u) 6(asz) gur a-sza3 {d}amar-{d}suen-{d}szara2-ki-ag2
","its barley 46 gur  field AmarSuenarakiag 
","its barley 46 gur field AmarSuenarakiag
"
"ku3-bi 1/2(disz) ma-na 5(disz) 2/3(disz) gin2 1(u) 5(disz) sze
","its silver 12 mana 5 23 shekels 15 grains 
","its silver 12 mana 5 shekels 15 grains
"
"1(iku) GAN2 1(asz) gur-ta gir2-su{ki}-ta
","1 iku fields  1 gur each  from Girsu 
","1 iku fields 1 gur each from Girsu
"
"2(ban2) 8(disz) 2/3(disz) sila3 zi3 ba-ba sze x
","2 ban2 8 23 sila3 of babaflour
","2 ban2 8 23 sila3 of babaflour
"
"5(disz) sila3 kasz 5(disz) sila3 ninda ur-{d}nansze
","5 sila beer 5 sila ninda UrNane 
","5 sila3 beer 5 sila3 bread UrNane
"
"amar-ku5 dumu usz-bar-me 8(gesz2) n 2(u) 6(asz) 3(barig) 2(ban2) 9(disz) sila3 gur
","for the castrated children of the weavers 48  26 gur 3 barig 2 ban2 9 sila3
","for the castrated children of the weavers 48 26 gur 3 barig 2 ban2 9 sila3
"
"mu-kux(DU) ur-{d}suen dumu-lugal 1(disz) {munus}asz2-gar3 niga mu-kux(DU) {d}utu-GIR2@g-gal
","delivery of UrSuen son of the king  1 barleyfed female kid delivery of UtuGIRgal 
","delivery of UrSuen the prince and 1 barleyfed female kid delivery
"
"1(barig) 1(ban2) gig kiszib3 lugal-ra-ni n 2(asz) 1(barig) gur kiszib3 ur-{d}da-mu
","1 gur 1 ban2 wheat  under seal of Lugalrani   2 gur 1 barig under seal of UrDamu 
","1 barig 1 ban2 wheat under seal of Eninnakal 2 gur 1 barig under seal of UrDamu
"
"szunigin 1(esze3) GAN2 8(disz) 1/2(disz)-ta szunigin sze-bi 7(gesz2) 2(asz) 4(ban2) gur
","total 1 ee3 surface area at 8 12 each  total its barley 422 gur 4 ban2 
","total 1 ee3 surface area at 8 12 each total its barley 42 gur 4 ban2
"
"e2 {d}dumu-zi 1(gesz2) 2(u) szabra 8(disz) nu-banda3-gu4 2(u)-ta
","household of Dumuzi  8 the household manager  8 oxen managers at 2 each 
","houshold of Dumuzi the household manager 8 oxen managers at 2 each
"
"dumu da-da-ga ensi2 umma{ki}
","son of Dadaga  governor  of Umma 
","son of Dadaga governor of Umma
"
"sze-bi 1(u) 7(asz) 4(barig) gur a-sza3 ...
","its barley 17 gur 4 barig  field  
","its barley 17 gur 4 barig field
"
"ki ur-{d}da-mu-ta 1(disz) ur-ga2-gi4-a 1(disz) lugal-he2-gal2
","from UrDamu  did 1 Urgagia  one Lugalegal 
","from UrDamu did 1 Urgagia one Lugalegal
"
"2(asz) 4(ban2) 3(disz) sila3 1(u) 1(disz) 2/3(disz) gin2 gur
","2 gur 4 ban2 3 sila3 11 23 shekels barley from Lugalnesage 
","2 gur 4 ban2 3 sila3 11 23 shekels barley
"
"i3-gal2 mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul
","are here  year Simurum Lulubu for the 9th time were destroyed 
","are here year Simurum Lulubu for the 9th time were destroyed
"
"lugal an-ub-da limmu2-ba-ke4 a-a-kal-la ensi2
","king of the four corners to Ayakala governor
","king of the four corners to Ayakala governor
"
"7(disz) masz2-gal niga 4(disz)-kam us2 1(u) {munus}asz2-gar3 niga 4(disz)-kam us2
","7 bucks barleyfed 4th grade  1 female kids barleyfed 4th grade 
","7 bucks barleyfed 4th grade 1 female kids barleyfed 4th grade
"
"1(ban2) zi3 sig15 lugal 2(disz) sa gi ninda gur4-ra
","1 ban2 groats royal measure  2 bundles reed fatbreads  
","1 ban2 groats royal measure 2 bundles reed fatbreads
"
" e2 {d}... 1(gesz2) 1(u) szabra
","household of   7 the household manager 
","household of 7 the household manager
"
"u3 ur-e2-nun-na nu-banda3-gu4 i3-gal2 mu bad3 mar-tu ba-du3
","and UrEnuna manager of oxen  are here  year The Amorite wall was erected 
","and UrEnuna manager of oxen are here year The Amorite wall was erected
"
"1(u) la2 1(disz) sila4 1(disz) masz2
","1 less 1 lambs  1 billy 
","9 lambs 1 billy goat
"
"ku3-bi 1/2(disz) ma-na 9(disz) gin2 1(u) 8(disz) sze
","its silver 12 mana 9 shekels 18 grains 
","its silver 12 mana 9 shekels 18 grains
"
"5(u) 3(disz) amar ... sze-bi-... iti ezem-{d}szul-gi-ta
","53  calves   its barley  from month Festival of ulgi
","53 calves its barley from month Festival of ulgi
"
"{d}nanna-gal-zu dub-sar dumu {d}en-lil2-dingir-zu
","Nannagalzu  scribe  son of Enlildingirzu 
","Nannagalzu scribe son of Enlildingirzu
"
"sa gu4 3(disz)-kam si gu4 3(disz)-kam
","tendon of 3 oxen  horn of 3 oxen 
","tendon of 3 oxen horn of 3 oxen
"
"n 3(iku) 1/2(iku) 1/4(iku) GAN2 su3
"," 3 34 iku surface fallow 
","3 34 iku surface fallow
"
"2(disz) ma2 1(gesz2) gur 2(ban2)-ta ma2-lah5-bi i3-ib2-u3
","2 barges of 6 gur capacity 2 ban2 per day each their skippers piloting 
","2 barges of 6 gur capacity 2 ban2 per day each their skippers piloting
"
"3(disz) gu4 ab2 3(u) 6(disz) udu
","total 3 oxen and cows 36 small cattle 
","3 cows and 36 sheep
"
"3(disz) nin-ga2-kam sza3 gurum2 lu2-{d}utu ... nin-inim-gi-na
","3 mana wool for Ningakam  from the inspection of LuUtu   nininimgina  
","3 mana wool for Ningakam from the inspection of LuUtu nininimgina
"
"8(disz) 1/3(disz) ma-na siki ur-su4-su4 i3-dab5
","8 13 mana wool  Ursusu received 
","8 13 mana wool for Nigtuku her child
"
"2(u) 2(asz) gu2 4(disz) 5/6(disz) ma-na siki-gi
","22 talents 4 56 mina tan wool 
","22 talents 4 56 mina tan wool
"
"7(disz) {gesz}epir2 x x 1(disz) {gi}kid ki-la2-bi 1/3(disz) sar x gu-la
","7    1 mat its size 13 sar  
","7 KiSuen 17 pise plasterers
"
"sa2-du11 a-ra2 1(disz)-kam 3(disz) sila3 i3-nun
","first saduallotment  3 sila3 butter oil 
","first saduallotment 3 sila3 butter oil
"
"iti 1(u) 1(disz)-kam i3-gal2 iti sig4-{gesz}i3-szub-ba-gar-ra-ta
","a period of 11 months  are here  from month Bricks set in the molds 
","a period of 11 months are here from month Bricks set in the molds
"
"1(gesz2) 2(barig) sze gur lugal la2-ia3 su-ga
","6 gur 2 barig barley royal measure  deficit repaid 
","6 gur 2 barig barley royal measure deficit repaid
"
"pisan-dub-ba e2-tum gesz ku3-ta du8-ha mu ha-ar-szi{ki} hu-ur5-ti{ki}
","Basketoftablets  chambers   year ari urti 
","Basketoftablets chambers year ari urti
"
"a-ru-a ur-{d}lamma 3(disz) nin-bur-szu-ma a-ru-a szu-na
","donated by UrLamma  3 mana wool for Ninburuma  donated by una 
","donated by UrLamma 3 mana wool for Ninburuma donated by una
"
"nigin-ba bar-ra kar gir2-su{ki}-ta gu2-ab-ba{ki}-sze3
","grand totals of barakaralaborers  from Girsu  to Guabba 
","grand totals of barakaralaborers from Girsu to Guabba
"
" 7(disz) udu ki ug3-IL2-ta
","7 sheep  from UgIL 
","7 sheep from UgIL
"
"kiszib3 lugal-inim-gi-na 5(u) 8(asz) 2(barig) 4(ban2) gur
","under seal of Lugalinimgina  58 gur 2 barig 4 ban2
","under seal of Lugalinimgina 58 gur 2 barig 4 ban2
"
"gurx(|SZE.KIN|)-a zar3 tab-ba a-sza3 nun-na a-sza3 nam-ha-ni u3 a-sza3 iszib-e-ne
","harvested and sheaves piled up in the Prince field in the Namhani field and in the Incantation priests field 
","harvested and sheaves piled up in the Prince field in the Namhani field and in the Incantation priests field
"
"sza3-bi-ta 3(gesz'u) 6(gesz2) a2(DA) u4-du8-a 4(gesz2) 2(asz) 2(barig) 5(ban2) 7(disz) 1/2(disz) sila3 dabin gur
","therefrom  216 labor freed days  242 gur 2 barig 5 ban2 7 12 sila3 barley flour 
","therefrom 216 labor freed days 242 gur 2 barig 5 ban2 7 12 sila3 barley flour
"
"1(gesz2) 3(u) 3(disz) geme2 u4 1(disz)-sze3
","93 female laborer workdays 
","93 female laborer days
"
"szunigin 8(asz) 3(ban2) 7(disz) 1/3(disz) sila3 9(disz) 1/2(disz) gin2 i3-nun gur
","total 8 gur 3 ban2 7 13 sila3 9 12 shekels butter oil 
","total 8 gur 3 ban2 7 13 sila3 9 12 shekels butter oil
"
"1(disz) kusz szu-dulx(|URxDISZ.DISZ.DISZ|) 2(disz) kun gu4
","1 hide of oxen yoke  2 tails of oxen 
","1 hide of ox yoke 2 tails of oxen
"
"ki ur-{d}da-mu-ta 2(u) 1(asz) 2(barig) 4(ban2) ki ur-{d}lamma dumu lu2-{d}suen-ta
","from UrDamu  21 gur 2 barig 4 ban2 from UrLamma son of LuSuen 
","from UrDamu did 1 gur 2 barig 4 ban2 for UrLamma son of Uda
"
"dumu-ni-me 3(disz) nin-iri-ni-sze3 3(disz) nig2-gi-na
","being her children  3 mana wool for Ninirinie  3 mana wool for Niggina 
","being her children 3 mana wool for Ninirinie 3 mana wool for Niggina
"
"kiszib3 2(disz) lu2-du10-ga 1(u) 8(disz) gurusz u4 1(disz)-sze3
","2 sealed tablets of Luduga  18 workdays male laborers 
","under seal of Luduga 18 workdays male laborers
"
"2(u) sze gur kiszib3 {d}szul-gi-a-ti kiszib3 dabx(U8)-ba
","2 gur of barley  under seal of ulgiati  seals taken  
","2 gur barley under seal of Katarni the boatman
"
"a-a-kal-la 3(disz) sila3 kasz 2(disz) sila3 ninda 3(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for Ayakalla  3 sila3 beer 2 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant 
","for Ayakalla 3 sila3 beer 2 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"pisan-dub-ba kiszib3 lu2 ensi2 ma-da-ke4-ne i3-gal2
","Basketoftablets  sealed documents of the men and governors of the land  are here 
","Basketoftablets sealed documents of the men and governors of the land are here
"
"1(disz) ur-mes dumu ugu2-du6-du6 1(disz) lugal-e
","1 Urmes the son of Ugududu  1 Lugale 
","1 Urmes the son of Ugududu 1 Lugale
"
"szunigin 1(u) la2 1(disz) sa szum2
","total 9 bundles onions 
","total 9 bundles onions
"
"2(disz) masz2 giri3 ur-e11-e ugu2 lu2-{d}suen
","2 billy goats  via Uree  debit account of LuSuen 
","2 billy goats via Uree debit account of LuSuen
"
"a-gu-a 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2
","for Agua  3 sila3 beer 2 sila3 bread 2 bundles onions 
","3 sila3 beer 2 sila3 bread 2 bundles onions
"
"iti sze-sag11-ku5-ta iti diri sze-sag11-ku5-sze3 iti 2(disz)-kam
","from month Harvest  to the extra month Harvest  it is 2 months 
","month Harvest month extra Harvest a period of two months
"
"a-sza3 nin-e-gu3-ba-de2 ki ur-sa6-ga dumu ur-gu-la
","field Ninegubade from UrSaga son of UrGula
","field Herder Ursaga son of Urgula
"
"pisan-dub-ba nig2-ka9-ak sze lu2 nig2-dab5-ke4-ne
","Basketoftablets  accounts of grain  of the requisitioners 
","Basketoftablets accounts of grain of the requisitioners
"
"1(disz) a-tu ... 1(disz) ur-... ugula szu-...
","1 Atu   1 Ur  ugula u
","1 Atu 1 foreman Ur
"
"4(ban2) 2(disz) sila3 u2-kur 1(ban2) 5(disz) 5/6(disz) sila3 2(disz) gin2 numun za3-hi-li
","4 ban2 2 sila3 u2kur spice  1 ban2 5 56 sila3 2 shekels cress seed 
","4 ban2 2 sila3 u2kur spice 1 ban2 5 56 sila3 2 shekels cress seed
"
"4(asz) 4(barig) kiszib3 ur-nigar{gar} nu-banda3 da-da
","4 gur 4 barig Urnigar superintendent Dada
","4 gur 4 barig Urnigar superintendent Dada
"
"ugula ...-la kiszib3 ur-{d}szara2 mu ma2 {d}en-ki ba-ab-du8
","foreman la  under seal of Urara  year The boat of Enki was caulked 
","foreman Urara under seal of Urara year The boat of Enki was caulked
"
"u4 2(disz)-kam ki ab-ba-sa6-ga-ta szu-ma-ma
","2nd day  from Abbasaga  uMama 
","2nd day from Abbasaga
"
"szunigin 3(u) 4(disz) dumu 1(disz) ma-na-ta
","total 34 children 1 mina each 
","total 34 children 1 mina each
"
"lu2-{d}nam2-an-ka i3-gal2 mu {d}amar-{d}suen lugal
","Lunamanka  are here  year AmarSuen is king 
","Lunamanka are here year AmarSuen is king
"
"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 iszib-e-ne
"," workdays at the field iibpriests 
","workdays at the field iibpriests
"
"gub-ba-am3 szunigin 1(u) la2 1(disz) geme2 3(disz) ma-na-ta
","it is the staff stationed  total 9 female laborers 3 mana each 
","it is the staff stationed total 9 female laborers 3 mana each
"
"1(disz) sila4 lu2-{d}asar-lu2-hi szabra 2(disz) sila4 ensi2 nibru{ki}
","1 lamb from LuAsalluhi the household manager  2 lambs from the ensi of Nippur 
","1 lamb from LuAsalluhi the household manager 2 lambs from the ensi of Nippur
"
"nig2-dab5 tug2 a-gi4-um szar3 ki {d}utu-GIR2@g-gal giri3 szar-ru-um-i3-li2
","nigdaboffering of the royal agium garment  with UtuGIR2gal via arrumIli 
","nigdaboffering of the royal agium garment with UtuGIR2gal via arrumIli
"
"iti diri mu si-ma-num2{ki} ba-hul {d}szu-{d}suen
","month extra year Simanum was destroyed uSuen
","month extra year Simanum was destroyed uSuen
"
"szunigin 5(disz) sila3 kasz saga szunigin 6(disz) gin2 i3
","total 5 sila3 of highquality beer total 6 shekels of oil 
","total 5 sila3 of highquality beer total 6 shekels of oil
"
"e2-kiszib3-ba a2-ti-e2-sag{ki} 1(gesz2) 3(u) la2 5(u)
","the warehouse AtiEsag  9 less 5 
","the warehouse AtiEsag 9 less 5
"
"1(disz) geme2-{d}lamma dumu-ni-me 2(disz) nin-ib2-ta-e3
","and 1 for GemeLamma  being her children  2 mana wool for Ninibtae 
","and 1 for GemeLamma being her children 2 mana wool for Ninibtae
"
"pisan-dub-ba gurum2-ak kiszib3-ba e2 {d}ig-alim
","Basketoftablets  inspections sealed documents  of the house of Igalim 
","Basketoftablets inspections sealed documents of the house of Igalim
"
"szunigin 6(disz) gin2 naga szunigin 3(disz) ku6 3(disz) sa szum2
","total 6 shekels alkaliplant  total 3 fish 3 bundles onions 
","total 6 shekels alkaliplant total 3 fish 3 bundles onions
"
"pisan-dub-ba udu tag-tag e2-tum-e
","Basketoftablets  sheep weaving  to the chambers 
","Basketoftablets sheep distribution and sheep
"
"mu za-ab-sza-li{ki}-sze3 mu-bi mu 2(disz)-am3 iti-bi iti 2(u) 4(disz)-am3
","to year Zabali  the years 2 years   the months 24 months 
","to year Zabali the years 2 years the months 24 months
"
"iti sze-sag11-ku5 mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul
","month Harvest  year AmarSuen the king Urbilum destroyed 
","month Harvest year AmarSuen the king Urbilum destroyed
"
"ki ga-ba-tal 1(disz) gu4 u2 5(disz) udu u2
","with Gabatal  1 ox grassfed 5 sheep grassfed 
","total 1 ox grassfed 5 sheep grassfed
"
"iti ezem-mah mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul
","month Grand Festival  year King AmarSin Urbilum destroyed 
","month Grand Festival year King AmarSin Urbilum destroyed
"
"1(disz) inim-ma-dingir dam-gar3 1(disz) ur-{d}nu-musz-da lu2 ki-ba gub-ba-me
","1 Inimadingir the trade agent  1 UrNumuda  are men at the place stationed 
","1 Inimadingir the trade agent 1 UrNumuda are men at the place stationed
"
"szunigin 2(gesz'u) 9(gesz2) 5(u) 6(asz) 3(barig) 3(disz) 2/3(disz) sila3 duh gur
","total 1796 gur 3 barig 3 23 sila3 bran 
","total 596 gur 3 barig 3 23 sila3 bran
"
" x szu-ku6 ugula lugal-ku3-ga-ni n il2 ur-sze3
"," fisherman overseer Lugalkugani  n porters  
","fisherman overseer Lugalkugani n porters
"
"7(gesz2) 2(u) 2(disz) 1/2(disz) sar al 5(disz) sar-ta
","442 12 sar hoed at 5 sar per day 
","442 12 sar hoed at 5 sar per day
"
"1/3(disz) ma-na 1(disz) gin2 ku3-babbar a-ra2 1(disz)-kam
","13 mana 1 shekel silver  the first time 
","13 mana 1 shekel silver the first time
"
"ARAD2-mu maszkim u4 2(u) 9(disz)-kam ki du11-ga-ta ba-zi
","ARADmu responsible official  the 29th day booked out from Dugas account 
","ARADmu responsible official the 29th day booked out from Dugas account
"
"lu2-du10-ga 5(disz) kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for Luduga  5 sila3 beer 5 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant 
","for Luduga 5 sila3 beer 5 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"ga2-nun mar-sa du3-a ugula a-da-lal3 mu hu-uh2-nu-ri{ki} ba-hul
","storage facility of marsa erected  foreman Adalal  year unuri was destroyed 
","storage facility of marsa erected foreman Adalal year unuri was destroyed
"
"lugal an-ub-da limmu2-ba i3-li2-mi-di3 sal-hu-ba
","king of the four corners Ilmidi s
","king of the four corners Imea U
"
"giri3 lugal-inim-gi-na ur-{d}isztaran unu3 1(disz) kusz szu-dulx(|URxA|) gu4
","via Lugalinimgina  UrItaran cowherd  1 hide of ox yoke 
","via Lugalinimgina UrItaran cowherd 1 hide of ox yoke
"
"nig2-ka9-ak ka-la2-a ulu3-di dumu ha-ba-an-zi-zi mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3
","account of KAlaa  Uludi son of abanzizi  year after The house PuzrisDagan was erected 
","account of KAlaa Uludi son of abanzizi year after The house PuzrisDagan was erected
"
"giri3-se3-ga e2-usz-bar-me 2(disz) lu2 azlag2 ...
","They are personnel of the house of the weavers  2 fullers  
","They are personnel of the house of the weavers 2 fullers
"
"nigin-ba 2(u) 6(disz) masz-da3 nigin-ba 5(disz) az
","grand total 26 gazelles  grand total 5 bears 
","grand total 26 gazelles total 5 bear
"
"pisan-dub-ba sze gesz-e3-a GAN2-gu4 apin-la2 u3 nig2-ka9-ak
","Basketoftablets  barley threshed of the oxenfields plough maintenance and accounts 
","Basketoftablets barley threshed of the oxenfields plough maintenance and accounts
"
"sze-bi 1(gesz2) 3(u) 7(asz) 2(barig) gur
","its barley 97 gur 2 barig 
","its barley 97 gur 2 barig
"
"si-i3-tum nig2-ka9-ak-a hu-bi2-dam dam-gar3 in-da-gal2
","remainder of the account  against ubidam the trade agent  exists 
","remainder of the account against ubidam the trade agent exists
"
"szunigin 1(disz) {ansze}kunga2-nita2 gesz mu-kux(DU) {d}szara2
","total 1 male mule for the yoke  delivery for ara 
","total 1 male mule for the yoke delivery for ara
"
"kiszib3 ur-{d}nun-gal 4(gesz2) 3(u) 5(asz) 9(disz) sila3 gur
","under seal of UrNungal  275 gur 9 sila3 
","under seal of UrNungal 275 gur 9 sila3
"
"1(disz) tug2 bar-dul5 saga 3(disz) tug2 bar-dul5 gu2-tar
","1 garment outercover good quality  3 units of outercover  
","1 ordinary bardul5 textiles and 3 ubar textiles
"
"($ blank space $) 4(disz) u4 2(u)-kam
","subtotal 4  2th day 
","subtotal 4 2th day
"
"szunigin 1(u) 6(asz) 4(barig) x x x x gur
","total 16  gur 4 barig  
","total 16 gur 4 barig
"
"ARAD2 ka-guru7 mu us2-sa e2 puzur4-da-gan ba-du3
","of ARAD the silo manager  year following The house of PuzriDagan was built 
","of ARAD the silo manager year following The house of PuzriDagan was built
"
"kun-zi-da dub-la2-{d}utu gub-ba 2(u) gurusz u4 1(disz)-sze3
","at the reservoir of Dublautu stationed  2 male laborer workdays 
","at the reservoir of Dublautu stationed 2 male laborer workdays
"
"1(disz) udu niga {d}nun-x x ki USZ sagi-ta
","1 sheep grainfed for Nun from USZ the cupbearer
","1 sheep grainfed for Nun from USZ the cupbearer
"
"5(gesz2) gurusz u4 1(disz)-sze3 zar3 tab-ba ki-su7 gub-ba
","3 male laborer workdays  sheaves piled up at the threshing floor stationed 
","3 male laborer workdays sheaves piled up at the threshing floor stationed
"
"u4 7(disz)-kam ki ur-mes-ta iti pa4-u2-e
","on the 7th day from Urmes month Paue
","on the 7th day from Urmes month Paue
"
"ki ur-{d}nin-tu-ta kiszib3 lu2-{d}nin-szubur mu sza-asz-szu2-ru-um{ki} a-ra2 2(disz)-kam ba-hul
","from Urnintu  sealed tablet of LuNinubur  Year arum was destroyed for the second time 
","from Urnintu under seal of LuNinubur 2 years year For the 2nd time arum was destroyed
"
"igi-3(disz)-gal2-ta iti munu4-gu7-ta iti ezem-{d}szul-gi-sze3 7(disz) gin2
","at 13 shekel each  from month Malt feast  to month Festival of ulgi 7 shekels 
","at 13 shekel each from month Malt feast to month Festival of ulgi 7 shekels
"
"ku3-bi 1(disz) ma-na ki ur-{d}szul-pa-e3-ta 3(u) sze gur
","its silver 1 mana  from Urulpae  3 gur barley 
","its silver 1 mana from Urulpae 3 gur barley
"
"1(barig) 3(ban2) szu-esz18-dar 1(barig) 3(ban2) lu2-giri17-zal
","1 barig 3 ban2 uedar  1 barig 3 ban2 Lugirizal 
","1 barig 3 ban2 uedar 1 barig 3 ban2 Lugirizal
"
"3(disz) x {d}x-x 4(disz) udu {d}nin-hur-sag
","3  for   4 sheep for Ninursag 
","3 aslum sheep 4 sheep for Ninursag
"
"1(u) la2 1(disz) udu u4 2(u) 8(disz)-kam
","9 rams  28th day 
","9 sheep 28th day
"
"mu si-mu-ru-um{ki} lu-lu-bu u3 mu ur-bi2-lum{ki}
","year Simurum Lulubu  and the year Urbilum 
","year Simurum and Lullubu for the year Urbilum
"
"3(u) 8(asz) ziz2 gur 3(u) 3(asz) 4(ban2) gig gur
","38 gur emmer  33 gur 4 ban wheat 
","38 gur emmer 33 gur 4 ban wheat
"
"mu {d}szu-{d}suen lugal-e na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3
","year uSuen the king erected greatstele for Enlil and Ninlil 
","year uSuen the king Greatstele erected to Enlil and Ninlil erected
"
"siskur2 ga gu7-sze3 giri3 a-kal-la lu2-inim-ma
","offering for milkfeeding  via Akalla man of testimony 
","offering sila3 beer via Akalla man of testimony
"
"u4 3(disz)-kam ki na-lu5 iti masz-da3-gu7
","3rd day  from Nalu  month Gazelle feast 
","3rd day from Nalu month Gazelle feast
"
"GAN2 lu2-{d}szara2 ($ blank space $) 1(u) 4(disz) geme2 u4 1(disz)-sze3 a-sza3 gibil a-sza3 gu4-suhub2 u3 u2-du-lu2-saga
","land of Luara   14 workdays at the new field the Oxenboot and UduLusaga fields 
","land of Luara 14 workdays at the new field the Oxenboot and UduLusaga fields
"
"ki ... 2(u) 1(disz) erin2 u4 n-sze3
","from  21 labortroops for n days
","21 labortroops for n days
"
"6(disz) udu 4(disz) u8 5(disz) ud5
","6 sheep 4 ewes 5 nanny goats
","6 sheep 4 ewes 5 nanny goats
"
"2(u) gurusz 5(ban2)-ta 4(u) 2(disz) gurusz 4(ban2)-ta
","2 male workers 5 ban2  5 sila3 each  42 male workers 4 ban2  4 sila3 each 
","2 male workers 5 ban2 5 sila3 each 42 male workers 4 ban2 4 sila3 each
"
"tir a-du10-ga-nigin i3-dab5 1(asz) GAN2 a-bu-du10
","the Aduganiginwoods took in charge  1 acworker field Abuab 
","the Aduganiginwoods took in charge 1 acworker field Abuab
"
"lugal-a-ni-sa6 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for Lugalanisa  3 sila3 beer 2 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant 
","for DIil 3 sila3 beer 2 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"ur-{gesz}gigir-ke4 su-su-dam mu us2-sa si-ma-num2{ki} ba-hul
","by Urgigir  are to be repaid  year following Simanum was destroyed 
","by Urgigir are to be repaid year following Simanum was destroyed
"
"sze-bi 3(u) 3(asz) 1(barig) gur a-sza3 a-ki-szah2
","its barley 33 gur 1 barig  field Akia 
","its barley 33 gur 1 barig field Akia
"
"gi-ra-num2-sze3 ur-{d}li9-si4 maszkim 1(ban2) zi3 sig15
","for the wailing ceremony  UrLisa enforcer  1 ban2 groats 
","for the wailing ceremony of UrLisi 1 ban2 groats
"
"guru7 a-pi4-sal4{ki}-sze3 sze zi-ga u3 sze mu-sza zi-ga
","to the silo of Apisal barley winnowed and muagrain winnowed 
","to the silo of Apisal and barley winnowed and muagrain winnowed
"
"1(disz) masz2-gal niga bu-du-ur2 lu2 ur-szu
","1 barleyfed largegoat  from  man of Uru 
","1 barleyfed largegoat from man of Uru
"
