,input,actual,predicted
540,"e2-gal
","his palace 
","his palace
"
541,"ur-nigar{gar} unu3
","Urnigar cowherd 
","xxx
"
542,"u3 guru7-a tak4-a-bi
","and in the silo left 
","xxx
"
543,"... MU x ...
"," coveredcovers  
","The man ofattached to the courtyard touchedadornedchose the ground
"
544,"szu-ni-sze3 gal2-la
","having been put into his hands 
","into his hands
"
545,"mu {d}szu-{d}suen lugal
","year uSuen is king 
","xxx
"
546,"ku3 za-gin3-na-ni
","her silver and lapis lazuli 
","In order to say the holy knees
"
547,"ab-ba u4-ta ba-ra-ab-tak4-a
","the old men who survived those days 
","The old women who survived those days
"
548,"geme2 ARAD2 lu2-u3
","a mans female or male slave
","xxx
"
549,"a-bar-bar-ta kasz4 im-sar-sar-re
","Darting from the shallows 
","So that the upper short side
"
550,"lugal kislah-ra
","to the owner of the empty land
","king who ran for the instructions
"
551,"tukum-bi a-sza3 a2-x lu2 lu2 apin-la2-sze3 in-na-szum2
","If a man has given to another man a  field for cultivation
","If son of fodderreed
"
552,"{gesz}u(KAK) umbin mar-gid2-da
","the peg of the wheel of a wagon 
","the upper short side
"
553,"dab6-ru-um{ki}-ma ba-an-sa6
","in Dabrum they at first were good to him
","apple
"
554,"sze u2-rum
","barely the property of 
","the upper short side
"
555,"ki ab-ba-sa6-ga
","xxx 
","xxx
"
556,"ba-usz2 u4 1(u) la2 1(disz)-kam
","slaughtered the 9th day 
","slaughtered the 9th day
"
557,"u3 nam-nar-a gu2-gu10 ha-ba-szum2
","And therefore I am devoted to the art of the musician 
","and drew for him
"
558,"{d}inanna
","To Inanna
","To Inanna
"
559,"1(asz) 3(barig) gur kiszib3 ga-a-me
","1 gur 3 barig under the seal of Gaame 
","1 gur 3 barig under the seal of Gaame
"
560,"kin-bi 1/3(disz) sar 5(disz) gin2
","its work 13 volumesar 5 volumeshekels 
","its work 13 volumesar 5 volumeshekels
"
561,"nam-lukur
","group of lukur priestesses 
","apple
"
562,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
563,"{d}nin-hur-sag-ka-sze3
","to Ninhursags  
","apple
"
564,"am hur-sag-ga2 giri17-sze3 ba-an-la2-la2
","wild bulls of the mountains by their noses tied up 
","57 lines
"
565,"ARAD2-zu
","is your servant 
","is your servant
"
566,"{d}nin-hur-sag-ke4
","Ninursaga 
","Ninursag
"
567,"bara2-nam-tar-ra
","did Baranamtara 
","Baranamtara
"
568,"...-di-in ...-KA
","ImeDagan AEnlildirie 215f 244f Kurzzeilen 
","saw
"
569,"lu2-giri17-zal
","Lugirizal 
","Lugirizal
"
570,"u4-ba
","then 
","At that time
"
571,"lu2 3(disz) du tesz2-e ba-ni-ib-gu7
","and if three men walked there they would be devoured by them 
","3 men walked there they would be devoured by them
"
572,"e2 sirara6
","the Sirara temple 
","her Sirara temple
"
573,"... lu2 al-dab5-ba
","Sheep afflicted with vertigo one who is seized paralyzed 
","The person that makes the path tremble
"
574,"gurum2-ak
","inspections of 
","inspections
"
575,"sze lagasz{ki} 1(szar2) guru7-am6
","The barley of Laga with only 36 gur measured in a grainheap 
","In order to obfuscate the barley for Lagash
"
576,"1(disz) lugal-ezem
","xxx 
","1 Lugalezem
"
577,"dumu lugal-ma2-gur8-re
","son of Lugalmagure 
","son of Lugalmagure
"
578,"x ... {d}ha-ia3 {d}nisaba
"," Haya and Nisaba 
","Haya Nisaba
"
579,"gurusz-bi gir2 sag11 nu-ga2-ga2
","Its young men did not restrain from sharpening their knives 
","The young men that lets loose his city
"
580,"ugula bi2-du11-ga
","foreman Biduga 
","foreman Biduga
"
581,"bulug4 szu-gur
","turban pin 
","turban pin
"
582,"szusz3
","cattle manager 
","chief cattle manager
"
583,"masz-tur sagi maszkim
","Matur cupbearer was enforcer 
","Matur cupbearer was enforcer
"
584,"4(disz) kusz udu 2(disz) kusz sila4
","4 sheephides 2 lambhides 
","4 sheephides 2 lambhides
"
585,"lugal uri5{ki}-ma-ka-sze3
","the king of Ur 
","king of Ur
"
586,"1(esze3) 3(iku) GAN2 1(u) la2 1(asz@45)-ta
","1 ee3 3 iku surface area at 1 less 1 each 
","1 ee3 3 iku surface area at 1 less 1 each
"
587,"sag-bi an-gin7
","and its top as high as the sky
","its head raised high as the sky
"
588,"mu-kux(DU) wa-ta2-ru-um sanga
","delivery of Watarum chief household manager 
","delivery of Watrum the household manager
"
589,"sza3 e2-kikken2
","xxx 
","for the mill of the mill
"
590,"4(u) 3(asz) gu2 6(disz) ma-na {gesz}ma-nu
","43 talents 6 mana willow 
","43 minas of willow
"
591,"e2 {d}en-lil2-ka
","of the temple of Enlil
","in the temple of Enlil
"
592,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
593,"nagar
","the carpenter 
","carpenter
"
594,"ensi2
","governor
","ruler
"
595,"{gesz}gesztin-ka5-a
","a fox grape 
","apple
"
596,"{d}a-nun-na e-ne-eg3 zu2 kesz2-da-bi ba-da-an-dur2-ru-ne-esz-a
","and the Anuna had seated themselves to ratify decisions 
","The Anuna rested on the organized ie finalized word
"
597,"na igi szu-ga-lam-ma-ka bi2-du3-a-na
","His stone erected in front of ugalam 
","The words that lets the hair hang down in front of Euruagaka
"
598,"3(u) 6(asz) sar
","36 plots 
","36 plots
"
599,"u3 szita-esz3
","and itae priest 
","xxx
"
600,"1/3(disz) ma-na ku3-babbar
","13 mina silver 
","13 mana silver
"
601,"nin-bi {d}nin-tu-ginx rib-ba-ra a-ba-a igi mu-ni-in-du
","Who has ever seen anyone as great as its lady Nintur 
","Who has ever seen anyone as great as its lady Nintur
"
602,"... inim du10 {d}en-ki-ka-ta lal3 um-da-szar2-szar2
","After honey is mixed with various grades of flour of the good word of Enki ie purified by incantation 
","In order to say the word that the firm promise for heaven
"
603,"{d}nin-hur-sag-nu-banda3
","for Ninursagnubanda 
","apple
"
604,"{d}en-ki-ke4
","by Enki 
","by Enki
"
605,"kisz{ki}
","of Ki 
","Ki
"
606,"5(ban2) sze dabin
","5 ban2 barley dabinflour 
","5 ban2 barley flour
"
607,"a2 nig2-hul-da-ni-ta
","through a wicked act by him  
","to make the side tremble
"
608,"{d}en-lil2-da gesz tuku
","one who to Enlil gives heed 
","one who gives heed to Enlil
"
609,"nin-a-ni
","his mistress 
","his mistress
"
610,"AN SAG@g
"," statue  
","apple
"
611,"ensi2
","governor  
","ruler
"
612,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
613,"giri3 gu-za-ni
","xxx 
","via Guzani
"
614,"lugal i3-si-in{ki}-na
","king of Isin 
","king of Isin
"
615,"e2-an-na-tum2
","Eannatum 
","Eannatum
"
616,"giri2-PA-a gu4 udu gu7 gu4 x ...
","The giriPAa knife that consumes oxen and sheep  
","As for the giriPAa knife that consumes oxen
"
617,"lugal-ma2-gur8-re
","Lugalmagure 
","Lugalmagure
"
618,"ni2-bi-ta na-ma-ra-ab-NI-gin7
","Like one who should notindeed did  towards me fromby means of its fear 
","Therefore the evildoers who for itself
"
619,"ni2 si-am3
","she who inspires with awe 
","It is EninnuMoon passing throughfilling the land
"
620,"...-lil2-le gu3 zi ma-...
","In my happiness Enlil spoke truthfully to me 
","
"
621,"mu si-mu-ru-um{ki} ba-hul
","xxx 
","xxx
"
622,"nig2-ba-asz
","as a gift 
","as a gift
"
623,"iti ezem-{d}nin-a-zu
","month Festival of Ninazu 
","month Festival of Ninazu
"
624,"{d}suen-a-ha-am-i-din-nam
","Snahamiddinam 
","apple
"
625,"pisan-dub-ba
","in the basketoftablets 
","Basketoftablets
"
626,"sipa ur-{d}namma-ke4 e2-gal-la-a-ni gesz im-mi-in-tag-ge
","in his palace the shepherd UrNamma offered to him 
","in her palace the shepherd UrNamma offered to her
"
627,"8(disz) 1/3(disz) ma-na siki
","8 13 mana wool 
","8 13 mana wool
"
628,"ib2-du11-ga mah-zu u3-ma-zu sa2 ib2-du11-ga ... = %a ana sza2 ug-gat-ki ra-ba-at ir-nit-ta-ki kasz-da-at ...
","may he be your guardian he against whom your wrath was great and whom your divine fury has overcome 
","let be your guardian be he against whom your wrath was great and whom your divine fury has overcome
"
629,"ensi2
","ruler 
","ruler
"
630,"nu-banda3
","overseer 
","nubanda
"
631,"mah-zu ib2-sur-en is-qu2-ka
","Your greatness ie arrogance Akkadian your lot has twisted me 
","Your lofty hand gave nothing to the front
"
632,"a-a {d}am-an-ki u3-mu-un mu-usz-gesz-tug2 da-ma-al-la-ke4
","Father Enki the lord of great wisdom 
","Father Enki decreed a lament for you
"
633,"dumu szesz-kal-la
","son of ekalla 
","son of ekalla
"
634,"hi-ri2-tum-sze3
","to irtum 
","apple
"
635,"AN-...
","A fox planned treachery 
","Sum sinyes
"
636,"a mu-na-ru
","he dedicated it 
","dedicated this to him
"
637,"KID2 lum-ma gir2-nun-ta-ka
","Upon the standard 
","and in the of the LummaGirnunta canal
"
638,"ensi2
","ruler 
","ruler
"
639,"ur-sa6-ga
","Ursaga 
","Ursaga
"
640,"kiszib3 ur-mes u3 lugal-nig2-zu
","on the under seal of Urmes and Lugalnigzu
","under seal of Urmes Lugalnigzu
"
641,"dingir-ra-ni
","his personal goddess 
","his personal god
"
642,"il-ta-ni
","Iltani 
","apple
"
643,"tul2 bur3-da esz2-la2 til-til-le-da
","there are wells to deepen and hoisting gear to be completed 
","there are wells to deepen and hoisting gear to be completed
"
644,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
645,"nam-ga-me-esz3 ak-da-ga2
","in my having established a colleague status with him 
","whereas I had established a colleague status with him
"
646,"al-la-di-mu
","Alladimu 
","apple
"
647,"gu2 min4{min}-a-bi giri3 nu-gal2 u2 gid2-da ba-am3-mu2
","No foot was setpresent on its two banks tall plants grew 
","So that malevolent plants grow on both banks of the grass
"
648,"nig2 iri gul-gul-e nig2 e2 gul-gul-e iri-a ba-an-da-dab5
","He afflicted the city with that which destroys cities that which destroys houses 
","He afflicted the city with that which destroys temples
"
649,"kur a-ma-ru giri3-ni-sze3 i3-nu2
","Mountain and flood alike liecrouch at her feet 
","the foreign lands lay down at his feet
"
650,"1(disz) szeg9-bar-munus
","1 deer doe
","1 deer doe
"
651,"mu ha-ar-szi{ki} ba-hul
","xxx 
","xxx
"
652,"iri{ki} e2-kur-sze3 ba-e-a-ul4-en {d}en-lil2 he2-am3
","City you pounced on Ekur it is as if you had pounced on Enlil 
","The city where Enlil it is just as you had pounced on Enlil
"
653,"3(disz) gin2 i3 2(disz) gin2 naga
","3 shekels oil 2 shekels alkaliplant 
","3 shekels oil 2 shekels alkaliplant
"
654,"numun-a-ni
","to his seed
","and his seed
"
655,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
656,"ga-am3-du11
","If I speak what do I take from it If lit on account ofbecause I should not speak what is extra ie the benefit I have concealed something about myself what limitprofit does it establish 
","I shall say to himthem
"
657,"e ki-sur-ra
","The levee of the boundary territory 
","who over the levee of the boundary territory
"
658,"mu-na-ru2
","he erected for him 
","he erected for him
"
659,"ki lu2-dingir-ra-ta
","from Ludingira 
","from Ludingira
"
660,"szabra sanga-ne
","xxx 
","for the abra and sanga administrators
"
661,"ama-ar-gi4-bi
","their freedom
","shall bring about their freedom
"
662,"u4 2(u)-kam
","2th day 
","2th day
"
663,"kiszib3 ensi2-ka
","under seal of the governor 
","under seal of the governor
"
664,"nam-ga-esz8
","for longdistance trade
","Longdistance trade
"
665,"iti x-x-x
","month  
","month
"
666,"nam-ti
","for the life 
","for the life
"
667,"gu3-de2-a
","Gudea 
","Gudea
"
668,"nam-ti-la-na
","and his lifes 
","apple
"
669,"iti dal
","Waradama 
","month Flight
"
670,"a-sza3 a-gar3 dagal-la
","a field of the broad agricultural tract 
","field Flash
"
671,"{disz}SAG
","Head
","apple
"
672,"gu3-de2-a
","Gudea 
","Gudea
"
673,"nam-lugal-bi uri2{ki}-sze3 ba-de6
","the kingship to Ur was carried off 
","the kingship to Ur was carried off
"
674,"x x x-gu10 ...-ab
","My  have mercy 
","My the children being taken hold of xxx
"
675,"{na4}esi im-ta-e11
","he brought down diorite 
","he brought down diorite
"
676,"1(disz) sa szum2
","1 bundle onions 
","1 bundle onions
"
677,"sila-ta kur2-ra
","from the street rescued 
","Having left the house and entered into the street the female worker set up a banquet apart from her lady
"
678,"u4 1(u) 3(disz)-kam
","the 13th day 
","13th day
"
679,"uri2{ki} iri{ki} {gesz}al-e ri-a-gin7 du6-du6-da ba-szid
","Ur like a city struck by a hoe has been broken up into ruin heaps 
","Ur like a city raked by a hoe is to be counted as a ruinmound
"
680,"nam-ti kar-kar-re-me-esz
","they who betook their lives there  
","for the life of Agade
"
681,"{d}mar-tu-ba-ni
","Amurrumbani
","apple
"
682,"e2 {d}en-lil2-la2-sze3
","the temple of Enlil
","xxx
"
683,"inim-be2 ka e-da-kesz2
","made a binding agreement as to that command 
","So that the warehouses would be provisioned
"
684,"gu3-de2-a
","Gudea 
","Gudea
"
685,"ab-ba sze se-ge4
","of the house of Enlil 
","So that the warehouses would be provisioned
"
686,"lugal-uszumgal
","Lugaluumgal 
","is the greatest of Lugaluumgal
"
687,"{d}dil-im2-babbar di-gu10 ba-ra-bi2-in-du11
","Dilimbabbar has not undertaken my case 
","Dilimbabbar has not undertaken my case
"
688,"lugal kal-ga
","strong king
","strong king
"
689,"8(gesz2) 1(u) 4(asz) 3(barig) 3(ban2) dabin gur
","494 gur 3 barig 3 ban2 dabin flour 
","54 gur 3 barig 3 ban2 dabin flour
"
690,"an-gub-ba 7(disz)
","Seven tutelary deities 
","The tutelary deities
"
691,"{d}en-ki
","of Enki 
","For Enki
"
692,"nam-en nam-lugal-la u4 su3-da nam-sze3 gu2-mu-ri2-ib2-tar{ar}
","Longlasting lordship and kingship as your destiny I shall decree 
","You possessed of kingship I shall decree a fate
"
693,"u3 {d}nanna-ke4
","and Nanna
","and Nanna
"
694,"nig2-ka9-ak
","xxx 
","accounts
"
695,"sze-bi 4(u) 8(asz) 1(barig) gur
","its barley 48 gur 1 barig 
","its barley 48 gur 1 barig
"
696,"en-nun |NINDA2xHI|
","apple 
","south
"
697,"7(gesz2) sa2
","7 42 ninda squared 
","4 ninda squared
"
698,"{d}i7-lu2-ru-gu2
","and the Ordeal River
","is your servant
"
699,"ki ur-{d}nanna-ta
","from UrNanna 
","to make the place tremble
"
700,"lugal {d}en-lil2-le
","the king whom Enlil
","the king whom Enlil
"
701,"a2-dah-mu he2-me
","May you be my ally
","may you be my ally
"
702,"{gesz}an-za-am apin
","the vessel of the plow
","the vessel of the plow
"
703,"7(gesz2) 2(u) 2(disz) 1/2(disz) sar al 5(disz) sar-ta
","442 12 sar hoed at 5 sar per day 
","42 12 sar of hoeing at 5 sar a day
"
704,"nam-e-esz mu-ri-...
","Ikur your god decreed as a fate for you 
","May there be a fate with him
"
705,"lu2 gu3 ...
","The criercaller does not  
","He spoke to him
"
706,"a2 {tu15}ulu3-bi
","its southern side 
","its southern side
"
707,"3(N01@f) , kasz sze
","1 unit barley beer 
","3 measures barley beer
"
708,"2(disz) ab2 mu 3(disz)
","2 heifers 3 years old 
","2 heifers 2 years old
"
709,"... nimx(TUM3)-gin7 i3-gir2-gir2-re da-bi-sze3 ...
","The 7th is  flashing like lightning no one will approach its side 
","So that the warehouses would be provisioned
"
710,"kur a-ne-sze3 ga2-ga2-de3
","that it should be established as an enemy land because of him 
","proclaims It is an enemy land because of him
"
711,"en-{d}mes-an-tum2 dumu puzur4-{d}nin-lil2-la2
","EnMesantum the son of PuzurNinlil 
","So that the upper short side
"
712,"sila4 nig2-mussa dam mu-ni-...
","You  the wife with lambs as a marriage gift
","Numuda says You the wife with calves as a marriage gift
"
713,"nam-lugal-bi i3-si-in{ki}-sze3 ba-de6
","the kingship to Isin was carried off 
","and the kingship to Shuruppak was carried off
"
714,"lagasz{ki}
","Laga 
","of Laga
"
715,"mu-du2
","he formed 
","he formed it
"
716,"gurx(|SZE.KIN|)-a zar3 tab-ba a-sza3 gu4-suhub2 a-sza3 ur-{d}nin-ti u3 a-sza3 e2-{d}ezina2
","harvested and sheaves piled up in the Oxen boot field in the UrNinti field and the EEzina field
","harvested and sheaves piled up in the Audagula field in the Oxenboot and in the field
"
717,"szu ba-ti
","received 
","received
"
718,"a ru-a-gu10 eme-gir15-ra-am3 dumu dub-sar-ra-me-en
","My engenderer is Sumerian I am the son of a scribe 
","So that the warehouses would be provisioned
"
719,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
720,"{d}nin-mul-e iri{ki} hul-a-na er2 gig mu-un-sze8-sze8
","Ninmul cried bitter tears over her destroyed city 
","the evildoers who wept bitter tears
"
721,"2(disz) gu4 niga
","2 fattened oxen
","2 oxen grainfed
"
722,"i3-ni-du11
","he has done to her
","has spoken words which exceeded her rank
"
723,"|ISZ.DU6.KID2|
","The tumuli 
","The tumuli
"
724,"e2-a-na lu2 nu-kux(KWU634)-kux(KWU634)-de3
","no person could enter his temple 
","In his house where the hazin axe shall be killed
"
725,"2(asz) lu2-lum-ma
","total 8 less 1 male laborers 
","2 talentstone
"
726,"nig2-ka9-ak
","account of 
","accounts
"
727,"a mu-na-ru
","dedicated it this figurine to him 
","dedicated this to him
"
728,"... {d}nu-dim2-mud-ke4 ga2-ra du11-mu-...
","Say the spell of Nudimmud for me 
","In Nudimmud the command of heaven may be forgotten
"
729,"eme5 ib2 gig
","shedonkey with arthritic hips 
","shedonkey with arthritic hips
"
730,"tur3-a-na amasz-a-na nu-nuz-e gu3 gig-ga mu-ni-ib2-be2 iri u4-de3 am3-gul-e
","In her cattlepen in her sheepfold the woman shouts bitterly the storm is destoying the city 
","The wild bull that cuts off in the cattlepen and the city
"
731,"... im-ma-ni-mu2-mu2 mu gen-na im-zal
"," grewwas growing in  the current year elapsed 
","The small galla demons Time elapsed
"
732,"umma{ki}-a
","in Umma 
","of Umma
"
733,"hur-sag il2-la-zu-sze3 sukud-da-zu-sze3
","Mountain range on account of your raising on account of your being high 
","So that the mountain thornbushes
"
734,"dumu la-na kuruszda
","son of Lana fattener 
","son of Lana
"
735,"su-la2 utuwa
","dried cut of a ram 
","dried cut of a ram
"
736,"2(disz) sa masz-szu-gi4-gi4
","2 bundles for Maugigi 
","2 bundles poplar
"
737,"gu4 mah2
","mature ox or bull 
","mature bulls
"
738,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
739,"i-{d}utu kur-ra ba-e-dab5-be2
","The outcry aroused would detain you in the nether world 
","They looked at the mountain tremble and earth
"
740,"gu2 ...
","Nibru has embraced the heavens 
","to the bank of the
"
741,"e-ne-ag2 ma-ra-ab-du11-ga-gu10-usz gu2-ni la-ba-da-an-szi-szub
","She did not neglect the orders I gave her 
","I have taken the path for you
"
742,"4(gesz2) 3(u) sar {u2}kiszi17 1(u) sar-ta
","27 sar acacia at 1 sar a day 
","276 sar acacia cut at 1 sar per day
"
743,"...-ti-lum-ma-ta
","from the  
","apple
"
744,"munus tu-ra uzu nig2 sag3-ga-sze3 ba-an-ku4
","The afflicted woman was turned into a corpse 
","The woman turned away from her smitten and piece of meat
"
745,"u4 1(u) 5(disz)-am3 ki udu-ka asz nu-tusz-am3
","For the second time It was the case that during 15 days Bida at the place of the sheep did not stay 
","15th day received
"
746,"gesz-hur e2-a-na ma-ra-pa3-pa3-de3
","He will reveal the plan of his house to you 
","In the divine plans and plans for the person
"
747,"...-me-en lu2 nu-x-me-en
","I am  I am the one who does not  
","You are the man among the young man
"
748,"2(gesz2) sa gi
","12 bundles of reed
","12 bundles of reed
"
749,"5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2
","5 sila3 beer 5 sila3 bread 5 shekels garlic 
","5 sila3 beer 5 sila3 bread 5 shekels garlic
"
750,"nin dingir-re-e-ne-ra
","queen of the gods 
","lady of the True lady
"
751,"1(asz) ab2 KAL
","1  cow 
","1 cow
"
752,"{disz}x-x-x-e-lum ensi2 am-da-ma{ki}
","ellum the ruler of Amdama
","So that the upper short side
"
753,"kiri3 szu he2-na-gal2
","make obeisances 
","make obeisances
"
754,"e2 gu4-ginx ur5-sza4 ninda2-ginx gu3-nun-di
","House roaring like an ox bellowing loudly like a breedbull 
","The building of the house that had fallen away from the path
"
755,"n x ki ...-ta
","3  
","it is
"
756,"en-en3-tar-zi dingir-ra-ni {d}mes-an-tum2
","Enentarzi his god was Mesantum2 
","favorable wordprayingflattering flaxstring
"
757,"e2-an-na-tum2-me
","by Eannatum 
","Eannatum
"
758,"nam-ti ...
","for the life of  
","for life
"
759,"in-ne-a-lu-ga-ta %a e-lu a-a-bi iz-za-as-zu
","they had stood over the enemies  
","So that the warehouses would be provisioned
"
760,"bara2-nam-tar-ra
","Baranamtara 
","Baranamtara
"
761,"nig2-dim2-ma-bi
","and things fashioned from them
","apple
"
762,"szunigin 1(gesz2) 4(u) 8(disz) gurusz u4 1(disz)-sze3
","total 18 laborer workdays
","total 18 workdays male laborers
"
763,"za3-dib an-ki-a
","most excellent one of heaven and earth 
","surpassing in heaven and earth
"
764,"sanga gesz be2-ra 3(|ASZxDISZ|)
","administrator threshed 3rd year 
","struck the temple administrator upon it
"
765,"u3 nam-ti-la-ni-sze3
","and for her own life 
","also for his life
"
766,"e2-engur-ra {d}en-ki-ke4 {gi}dub-ba-an ku3 la2-a
","Eengura temple whose pure reed fence has been hungbound together by Enki 
","In the Eengur of Enki being prepared for you
"
767,"ku3-gin7 izi i3-la2
","as if it were silver I refined it with fire 
","Like a holy barge he extended
"
768,"lu2 e2-x-x
","the man who the  temple
","The person that cuts off the path
"
769,"szul ka-tar-a-ni
","The youth whose praise
","to make the young man tremble
"
770,"gir2-su{ki}-ta
","xxx 
","from Girsu
"
771,"{d}en-lil2-la2
","of Enlil 
","of Enlil
"
772,"ninda he2-gal2-la {d}nin-ka6 i3-ib-gu7
","If there was food a mongoose ate it 
","There was no food for abundance so that the foreigners will be praised
"
773,"ki-ag2-ni
","beloved by him
","her beloved
"
774,"1(u) 2(disz) gurusz u4 1(disz)-sze3
","12 male laborer workdays 
","12 male laborer workdays
"
775,"{d}inanna-ke4 ni2-te-na igi im-kar2-...
","Inanna was inspecting herself 
","Holy Inanna answers the demons
"
776,"ka5-a nu-banda3{+da}
","The fox is overseer 
","The malevolentdestructive fox
"
777,"gurusz-e 1/2(disz) ninda-ta
","per laborer 12 ninda each
","per laborer 12 ninda
"
778,"... x {d}nin-...
","Bearing a  aura wearing a great aura  
","For Nin
"
779,"|GIN2.SZE3| i3-ni-se3
","defeated him 
","and defeat
"
780,"erin2 gir2-su{ki}
","xxx 
","labortroops of Girsu
"
781,"u3 zi-ga
","xxx 
","and lifted outs
"
782,"sukkal nam-dumu
","is your servant 
","the minister of the children
"
783,"dub i3-sar dim2-ma(LA) nu-mu-da-an-ku4
","You write a tablet and then you cannot bring its contents into the intellect 
","The tablet of the steppe commentary or perhaps the ur5ra worker it
"
784,"3(u) la2 1(disz)
","total 3 less 1 
","Subtotal 39 lines
"
785,"isz-bi-er3-ra
","IbiErra 
","IbiErra
"
786,"1(disz) sila4 {d}en-lil2
","ne lamb for Enlil 
","1 lamb for Enlil
"
787,"lagasz{ki}-ke4
","of Laga 
","of Laga
"
788,"i3-nun-bi 3(ban2) 5(disz) sila3
","their butter oil 3 ban2 5 sila3 
","their butter oil 3 ban2 5 sila3
"
789,"e2 usz-bar e2-gal
","house of weavers of the palace
","weaving tool
"
790,"2(u) engar-bur2 ...
","2 releaseploughmen 
","2 releaseploughmen for 3 ban2
"
791,"tab mu-szi-in-ku4-ra-ni ninim-ma-ni hu-mu-te
","When he entered  he drew his envy near 
","When he entered he drew his envy near
"
792,"nig2-ka9-ak
","accounts 
","accounts
"
793,"LAK384 HI
","cereal dish 
","cereal dish
"
794,"nam-ti
","for the life 
","for the life
"
795,"te-me-en da-ri2 an-ki-ke4 gesz-hur gi-na dim3-me-er-e-ne-ka-ta = %a ina da-ru-ti te-me-en an-e u ki-tim u2-s,u-rat dingir-mesz ki-na-a-ti
","At the eternal foundation of heaven and earth and by the enduring designs of the gods  
","57 lines
"
796,"a-ra2 mah-ka-ne2
","of his exalted ways 
","So that the warehouses would be provisioned
"
797,"in-szi-in-sze-ga
","had been favorable 
","became agreeable
"
798,"lugal an-ub-da limmu2-ba
","king of the four corners 
","king of the four corners
"
799,"... x-bi ba-BU-BU x x
","He  and opened his clenched fist 
","So that the warehouses would be provisioned
"
800,"...-ta ni2 te-te-...
","The woman who was fearing the command of An was coming by 
","Fearing the command of Enlil was coming by
"
801,"umma{ki}
","Umma 
","of Umma
"
802,"e2 {d}nansze
","had the temple of Nane 
","xxx
"
803,"lu2-inim-ma-bi-me
","are the witnesses 
","are its witnesses
"
804,"7(disz) {gesz}epir2 x x
","7   
","7 mulberry trees
"
805,"musz-bi-an-na
","xxx 
","Mubiana
"
806,"uri5{ki} esz3 nidba gal-gal-la nidba-bi kur2-ru-de3
","to change the food offerings of Ur the shrine of magnificent food offerings 
","to Ur the shrine of great offerings
"
807,"... x DU x ...
","May  battle 
","the field as my water
"
808,"kur ...
","the land 
","The foreign lands
"
809,"ki ab-ba-sa6-ga-ta ba-zi
","from Abbasagas account booked out 
","from Abbasagas account booked out
"
810,"1(asz) masz-da5
","1 Mada 
","1 Azu
"
811,"i3-gal2
","xxx
","xxx
"
812,"muru9-gin7 ki us2-sa ...-a-ba
"," when like a mist lying heavily on the earth 
","Like a cloud hugging the earth
"
813,"4(disz) la2-e zib2 gid2-gid2-i
","To yoke a team of four and extend the reins 
","4 dur3jacks
"
814,"mu en {d}nanna kar-zi-da ba-hun
","year The highpriestess of Nanna in Karzida was hired
","xxx
"
815,"i3-gal2
","are here 
","xxx
"
816,"e2-kesz3{ki} pirig u3-tu sza3-bi ur-sag su3-ud
","House Ke given birth by a lion whose interior the hero has embellished  
","House given birth by a lion whose interior the hero has embellished
"
817,"sza3-gal kas4-e-ne
","provisions for messengers 
","provisions for messengers
"
818,"ki ku-li-ta
","from Kuli 
","out of Kulis account
"
819,"giri3-pad-ra2-gu10 sza3 iri kur2-ra-sze3 a nam-ba-an-tum3
","My bones should not be carried by water towards a strange city 
","So that the warehouses would be provisioned
"
820,"iti 1(disz)-a-kam
","a period of 1 month 
","each month
"
821,"a-na
","to
","for
"
822,"nam-en-na-ne-ne-a-ta %a an be-lim
","in the rule over them
","So that the warehouses would be provisioned
"
823,"abzu ginx ri-a hur-sag-bi sig7-sig7-ga
","Rooted in the abzu verdant like the mountains 
","So that the warehouses would be provisioned
"
824,"e-ma-us2
","they followed 
","he pressed
"
825,"a-na-sze-am3 u4-da u4-szu2-usz-bi-sze3 du14-da ba-ni-ib-ri-ze2-en
","Why do you today and daily before that cast downpick up quarreling 
","So that the warehouses would be provisioned
"
826,"nu-banda3-gu4 ur-{gesz}szita2
","oxen manager Urita 
","oxencaptain
"
827,"a-sza3-bi 2/3(disz) sar 5(disz) gin2
","its volume 23 sar 5 shekels 
","its volume 23 sar 5 shekels
"
828,"szunigin 4(barig) 2(disz) sila3 u2-kur
","total 4 barig 2 sila3 u2kur spice 
","total 4 barig 2 sila3 u2kur spice
"
829,"ku3-si2 ku3-babbar gu4 udu-bi gu2-un dumu nibru{ki}-ke4-ne hu-mu-...
","Therefore its gold silver bulls and sheep the tribute of the citizens of Nippur is released 
","In order to bring on silver the bull grows like a criminal
"
830,"lugal unu{ki}-ga in-dab5*-ba
","the king of Uruk he seized  
","The king avenged the city
"
831,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
832,"ki ad-da-ta
","from Adda 
","from Adda
"
833,"dumu a-kur-gal
","the son of Akurgal 
","son of Akurgal
"
834,"nin-a-ni igi-na nig2 nu-mu-na-ni-ra
","her lady did not thrown stuff in her face 
","57 lines
"
835,"dub-sar
","scribe 
","scribe
"
